Num_Qubits_Sent,Num_Qubits_Measured_Correctly,QBER,Photon_Splitting_Prob,Intercept_Resend_Prob,Eavesdropper_Success_Rate,Final_Key_Length,Detector_Error_Rate,Quantum_Channel_Noise,Attack_Detected
602,1353,0.11096138295298247,0.2774571727139774,0.07000602807675121,0.6925645455632212,60,0.03241675399036812,0.1864668517764343,1
935,1232,0.09643464449460237,0.3774803524163452,0.3391858007056314,0.8500664616534435,250,0.02801191581242493,0.16120375299168713,0
1360,539,0.278751106293408,0.07275097234102162,0.036580497763021635,1.5077773729593544,0,0.06442885688331215,0.09744160395544002,1
770,1191,0.035574413609132466,0.3070242203857663,0.3586625698823335,0.760744853991367,1186,0.0036515921953088485,0.17119991053472988,0
606,945,0.11953537680429392,0.23473975578881506,0.16190247719338935,0.17818519806205135,710,0.0366781801156158,0.033438214295189755,0
571,1416,0.08267997152150934,0.44847907975386214,0.2329238279766332,0.4951561527639986,626,0.049405629398455476,0.04340840305016562,0
1200,456,0.11073325617814983,0.2598104689481627,0.08313009048352787,0.02754127865747813,604,0.022039599203711704,0.16891667180852216,0
520,511,0.11474835704636971,0.4714674870370828,0.31392450886710527,0.31508907779820605,705,0.023021459814621337,0.03369338630667251,0
1114,404,0.036483252435716845,0.17662649708995332,0.16878381439048679,0.348019520766926,389,0.03330799735439735,0.13803249076457902,0
621,1436,0.041932825559728056,0.48344735319499527,0.19168750302467824,0.9136901735367493,332,0.03709056071363669,0.06601471460231029,0
966,489,0.05450143080943295,0.43757897404588386,0.32609646247706814,0.9927827989313822,750,0.03969884437177473,0.05718936168256173,0
714,1015,0.056344118624273805,0.29213164486767734,0.08943083061127532,0.6177459015498391,328,0.004801412273240475,0.13352935940518765,0
830,1290,0.08209875273286746,0.17685496665951228,0.4260044467861218,0.5167687510533244,688,0.04023375552003449,0.030284713893785967,0
958,1097,0.08285120114553504,0.18796167872627995,0.36964320278811036,0.4400889342716059,1104,0.04333962366127807,0.11917825683065306,0
587,1297,0.20798104422212849,0.3863760432291458,0.2888650015690813,0.3743877548685457,158,0.0032161349603603106,0.22829938947640832,1
872,1370,0.06825706482841419,0.29031567558452226,0.06416653354122437,0.8001165462428611,421,0.0029176149100100897,0.1717675807153312,0
599,1067,0.1611920340528133,0.20079379273466047,0.34355484720012297,0.6718258441136336,793,0.02799363377475053,0.1717119134572046,0
1371,993,0.13291117620177187,0.31802748070608217,0.009049686044763028,0.649285750193407,1091,0.025343523912007268,0.06755547208014052,0
1163,988,0.2058989430868674,0.36661669895047216,0.4021979007669719,0.9595909149717551,561,0.049024738239164756,0.17693028371475011,1
630,884,0.01971876379337444,0.011450256279232962,0.15189884840304596,0.9280542015957722,841,0.015425673582998647,0.15822054783911027,0
1161,1381,0.19435309185373345,0.04493140055875505,0.05860577526517313,0.8756711846296077,0,0.05265074531992241,0.2604602007550947,1
808,1371,0.15867571762580507,0.04724272020353959,0.0822444770280984,0.8491275055367995,0,0.05045366348042603,0.13531913954569458,1
1269,1038,0.08837153965883202,0.11596690263166737,0.48156719925420033,0.9751389901638341,533,0.027250932911548956,0.15456347258450737,0
843,1396,0.0509483035172366,0.21349521961365697,0.38691520892541537,0.6644248510365149,972,0.03332374743618598,0.054132104988164995,0
991,681,0.24640633807359907,0.40182494964627724,0.1189359866682001,1.5447726286959822,0,0.05108483702274229,0.10424529027107102,1
913,1385,0.06028862779631124,0.1755495174997787,0.48173312173147226,0.2215695386037757,884,0.0013402830846979139,0.1015485776996916,0
1305,415,0.1352531998406718,0.008738894190302382,0.07005883533127177,0.5128151866459865,430,0.04234180310532854,0.18900484402680912,1
885,1335,0.13442760477380766,0.24168092647586448,0.36676360595072066,0.3916052271952626,567,0.010856565974143018,0.05073021182163272,0
691,653,0.0847931873450337,0.49831429771231095,0.32836981342617344,0.6116592571666948,299,0.012326575871260056,0.06214154323187415,1
1455,728,0.13823612503250549,0.17451049782745953,0.41073838619278835,1.4196699891314868,105,0.06358550922534809,0.16291783937394344,1
776,943,0.0914560806058933,0.4806272593836574,0.19084936033660294,0.5115101958591982,274,0.02440983111753357,0.04854672729987686,0
660,1182,0.050193715707933434,0.050672565568211314,0.2009177291553882,0.9536471062028054,377,0.029149518050008507,0.0825964428763765,0
959,1396,0.08378155044079791,0.0865498289526524,0.3122835092213949,0.32132244421512723,130,0.025377447939089463,0.18495806183614086,0
813,1244,0.04338032286583463,0.36206103507285414,0.19910287848261082,0.03724463026343228,150,0.021475268832466192,0.15134124250547926,0
521,765,0.12499175277472503,0.25060622448535314,0.02067544635110591,0.13806141968336028,1083,0.024681821097874302,0.08085936984727252,0
752,1054,0.14734276129739796,0.38256090173294305,0.36485401590587024,0.7830968441622167,271,0.034549433341274985,0.12756003978846092,1
1247,1159,0.054528921083360576,0.431779172514445,0.32047303152756357,0.6399697007836839,700,0.04849598326890576,0.18502696765213975,0
1356,1038,0.15598852183703116,0.1255424380305173,0.21185640637799052,0.39155421533682705,448,0.029162836469184984,0.19956405746507777,1
1060,1463,0.055761547202898526,0.34141458521987095,0.15141478044005974,0.3814985239551395,258,0.015054032337860946,0.12477662077252652,0
974,1323,0.05452026469894704,0.30380061831687805,0.16036291916368417,0.7953868241355146,216,0.03592917297197713,0.07794164142850486,0
558,815,0.09057382487741975,0.43076751459606555,0.3705143118558983,0.12475901512805254,138,0.044125199752006766,0.16054354113938038,0
1010,654,0.11857910063681955,0.21505195030494134,0.36458043948977137,0.5904243067452133,0,0.05112682374883484,0.19838735754332854,1
1181,1109,0.0769737239426814,0.02593521535533,0.40945921017062503,0.539970229711396,1084,0.01690106748073158,0.11728737043316026,0
975,976,0.10186571898425942,0.287093063636256,0.3810902141180545,0.6980690193138464,942,0.022488886566975556,0.15032535829750865,0
1199,1299,0.08672514698868079,0.4794391595592289,0.3789721010530326,0.9109531882940741,885,0.011647198817296853,0.03554855203279908,0
1475,410,0.09664709706933935,0.007315589752611706,0.1258866170277158,0.6619766729632197,1146,0.04067963046560057,0.18672820907035387,0
1282,425,0.02907205767867293,0.1201289942112273,0.05080627729938192,0.9461788777782679,134,0.02962465706679648,0.19485495847572282,0
689,1356,0.0,0.15803389498206,0.3808761330180086,0.24452604294867297,590,0.003795180798050361,0.07734534843303803,0
1457,820,0.20409034631344308,0.38291944394548777,0.04930900982787645,0.9997154145259062,0,0.07989150249700461,0.26627702435493383,1
1186,895,0.21798869197531495,0.16163846123408093,0.49105570264748993,1.4066636507935186,0,0.04948761722353076,0.25369500446317617,1
1457,636,0.13412587171328155,0.11954193159815696,0.43754463372500346,1.1619554124029943,0,0.0446068801220627,0.22215760327241602,1
1062,1408,0.058248155018955264,0.32427900723352054,0.2667308009605936,0.6648903591701906,1102,0.025579290147643197,0.1843170817494419,0
1375,618,0.06554413267834586,0.0232026444804998,0.1760917825510807,0.5060243058781912,683,0.029540025443198017,0.04817136192726247,0
1066,860,0.08479671731814377,0.08529842997937348,0.2634215179737145,0.017711392867149067,663,0.023269287236227128,0.05940496163022369,0
743,1062,0.11941261692452756,0.20401511433472186,0.36715091655168536,0.280443957403799,1003,0.02171527594005144,0.059512873171153786,0
1331,1034,0.12644239995170783,0.17779998117001555,0.37816498928030723,0.8068623172689108,0,0.039392126345332595,0.07990645509521027,1
1004,1389,0.14996233633445216,0.1735829095916816,0.036832999324958815,0.4456312223117248,0,0.04814408832677907,0.13501848164885955,1
630,588,0.0,0.05427750655983088,0.4024270474474086,0.7760797192442761,609,0.009906790937582937,0.07889814711594637,0
